                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3118,                 1.2506,                 1.2511,                0.99288,                0.99233,                0.99495,                0.81431,                0.71754,                0.56331,                 0.8649,              0.0033226,              0.0033226,              0.0033226
                      2,                0.86937,                0.64239,                0.89455,                0.99956,                      1,                  0.995,                0.83619,                0.71735,                0.55916,                0.91853,              0.0066427,              0.0066427,              0.0066427
                      3,                0.87054,                0.62465,                0.90163,                0.99972,                      1,                  0.995,                0.84589,                0.70291,                0.45983,                0.92418,              0.0099497,              0.0099497,              0.0099497
                      4,                0.80675,                 0.5603,                0.88926,                0.99971,                      1,                  0.995,                0.85411,                0.60421,                0.36644,                0.93186,              0.0099406,              0.0099406,              0.0099406
                      5,                0.72365,                0.48002,                 0.8689,                0.99234,                0.99447,                0.99464,                0.67161,                 1.0595,                0.54889,                 1.0235,              0.0099208,              0.0099208,              0.0099208
                      6,                0.67819,                0.44098,                0.85919,                0.99651,                0.98721,                0.99467,                 0.6246,                 1.1442,                0.53722,                  1.045,               0.009901,               0.009901,               0.009901
                      7,                0.64626,                0.41011,                 0.8526,                0.99896,                      1,                  0.995,                0.89977,                0.46624,                0.28149,                0.91262,              0.0098812,              0.0098812,              0.0098812
                      8,                 0.6224,                0.38761,                 0.8496,                0.99971,                      1,                  0.995,                0.91059,                0.43345,                0.25341,                 0.9083,              0.0098614,              0.0098614,              0.0098614
                      9,                0.60978,                0.37199,                 0.8447,                0.99441,                0.99233,                0.99497,                0.91419,                0.44416,                0.26473,                 0.9182,              0.0098416,              0.0098416,              0.0098416
                     10,                 0.5895,                0.35562,                0.84029,                      1,                0.98399,                0.99485,                0.84981,                   0.62,                0.31751,                0.94045,              0.0098218,              0.0098218,              0.0098218
                     11,                0.57915,                0.34806,                0.83928,                0.99952,                      1,                  0.995,                0.87931,                0.53482,                0.27501,                0.91259,               0.009802,               0.009802,               0.009802
                     12,                0.56823,                0.34124,                0.83737,                0.99921,                      1,                  0.995,                0.90923,                0.46063,                0.25065,                0.90771,              0.0097822,              0.0097822,              0.0097822
                     13,                0.56018,                0.33004,                0.83501,                      1,                0.96389,                0.99457,                 0.8815,                0.51861,                0.30975,                 0.9204,              0.0097624,              0.0097624,              0.0097624
                     14,                0.55186,                0.32573,                 0.8341,                0.99743,                0.99443,                0.99497,                0.90935,                0.47943,                0.25013,                0.90848,              0.0097426,              0.0097426,              0.0097426
                     15,                0.54511,                0.31836,                0.83334,                      1,                 0.9652,                0.99467,                0.91113,                 0.4799,                0.29375,                0.91689,              0.0097228,              0.0097228,              0.0097228
                     16,                0.53775,                0.31305,                 0.8301,                0.98775,                0.98465,                0.99459,                0.88957,                0.53217,                0.27031,                0.91944,               0.009703,               0.009703,               0.009703
                     17,                0.53355,                 0.3086,                0.82849,                0.98728,                0.98977,                0.99485,                0.91571,                0.47572,                0.24522,                0.90998,              0.0096832,              0.0096832,              0.0096832
                     18,                0.53241,                0.30802,                0.82917,                0.99478,                0.97464,                0.99472,                0.91388,                0.47732,                0.26234,                0.91197,              0.0096634,              0.0096634,              0.0096634
                     19,                0.52474,                0.30123,                0.83136,                0.99978,                0.95908,                0.99422,                0.90507,                0.49827,                 0.2575,                0.91513,              0.0096436,              0.0096436,              0.0096436
                     20,                0.51629,                0.29925,                0.82911,                      1,                0.98175,                  0.995,                0.93066,                0.41013,                 0.2482,                0.90588,              0.0096238,              0.0096238,              0.0096238
                     21,                0.51635,                0.29493,                0.82791,                0.99235,                0.97698,                0.99472,                0.91833,                0.47552,                0.26508,                0.91436,               0.009604,               0.009604,               0.009604
                     22,                0.51243,                0.29299,                0.82809,                0.98978,                0.99057,                0.99474,                0.91542,                0.45572,                 0.2404,                0.90876,              0.0095842,              0.0095842,              0.0095842
                     23,                0.50946,                0.29213,                0.82515,                0.98966,                0.97953,                0.99467,                0.92459,                0.41362,                0.24051,                0.90793,              0.0095644,              0.0095644,              0.0095644
                     24,                0.50845,                0.28704,                0.82488,                0.99946,                0.95908,                0.99367,                0.89427,                0.52391,                0.28074,                0.92316,              0.0095446,              0.0095446,              0.0095446
                     25,                0.50199,                0.28441,                0.82503,                0.99736,                0.96527,                0.99428,                0.90329,                0.49462,                0.26047,                0.91669,              0.0095248,              0.0095248,              0.0095248
                     26,                0.49764,                 0.2809,                0.82364,                0.99222,                0.97913,                0.99452,                0.92249,                0.43541,                0.23657,                0.91077,               0.009505,               0.009505,               0.009505
                     27,                0.49891,                0.28291,                0.82387,                0.99476,                0.97074,                0.99469,                0.93427,                0.40001,                0.23021,                0.90482,              0.0094852,              0.0094852,              0.0094852
                     28,                0.49625,                0.27959,                  0.823,                      1,                 0.9692,                 0.9948,                0.91541,                0.44537,                0.24343,                0.91458,              0.0094654,              0.0094654,              0.0094654
                     29,                0.48904,                0.27494,                0.82256,                0.99965,                      1,                  0.995,                 0.9063,                0.47967,                0.24421,                0.91548,              0.0094456,              0.0094456,              0.0094456
                     30,                 0.4889,                0.27635,                0.82311,                      1,                0.99329,                  0.995,                0.91196,                0.46802,                0.24787,                0.91125,              0.0094258,              0.0094258,              0.0094258
                     31,                0.48895,                0.27371,                0.82334,                      1,                0.97877,                0.99497,                0.91266,                0.45682,                0.24539,                0.91243,               0.009406,               0.009406,               0.009406
                     32,                0.48425,                0.27344,                0.82151,                0.99727,                0.99233,                0.99492,                0.93551,                0.38296,                0.21647,                0.90212,              0.0093862,              0.0093862,              0.0093862
                     33,                0.48343,                0.27105,                0.82227,                      1,                0.99831,                  0.995,                0.91454,                0.45047,                0.21933,                0.90818,              0.0093664,              0.0093664,              0.0093664
                     34,                0.48212,                0.26862,                0.82234,                      1,                0.99577,                  0.995,                0.93318,                0.38359,                0.21792,                0.90322,              0.0093466,              0.0093466,              0.0093466
                     35,                0.47693,                0.26643,                0.81877,                0.99896,                0.99744,                  0.995,                0.93147,                0.42551,                 0.2174,                0.90666,              0.0093268,              0.0093268,              0.0093268
                     36,                0.47925,                0.26548,                0.81984,                0.99934,                0.99744,                  0.995,                 0.8998,                0.48213,                0.23534,                0.91134,               0.009307,               0.009307,               0.009307
                     37,                0.47265,                 0.2655,                0.81974,                0.99743,                 0.9943,                0.99497,                0.93299,                0.43014,                0.22033,                0.90602,              0.0092872,              0.0092872,              0.0092872
                     38,                0.47119,                0.26318,                 0.8216,                      1,                0.99735,                  0.995,                0.92806,                0.41333,                 0.1981,                0.90587,              0.0092674,              0.0092674,              0.0092674
                     39,                0.47236,                0.25989,                 0.8206,                0.99729,                0.99488,                0.99497,                0.92507,                0.44489,                0.23954,                0.90936,              0.0092476,              0.0092476,              0.0092476
                     40,                0.46674,                0.25989,                 0.8186,                0.99742,                  0.988,                0.99497,                0.94168,                0.39879,                 0.2212,                0.90112,              0.0092278,              0.0092278,              0.0092278
                     41,                0.47027,                0.26126,                0.81995,                0.99489,                0.99562,                0.99492,                 0.9416,                0.39072,                0.21634,                0.89907,               0.009208,               0.009208,               0.009208
                     42,                0.46343,                 0.2575,                 0.8189,                      1,                0.99842,                  0.995,                0.94115,                0.39738,                0.19541,                0.90402,              0.0091882,              0.0091882,              0.0091882
                     43,                0.46395,                0.25894,                0.81911,                      1,                0.98442,                  0.995,                0.93968,                0.39707,                0.20433,                0.90137,              0.0091684,              0.0091684,              0.0091684
                     44,                0.46116,                0.25557,                0.81931,                0.99744,                0.99613,                  0.995,                 0.9492,                 0.3827,                0.19001,                0.89991,              0.0091486,              0.0091486,              0.0091486
                     45,                0.46259,                 0.2547,                0.81946,                0.99814,                0.98465,                0.99482,                0.93388,                0.40983,                0.21087,                0.90384,              0.0091288,              0.0091288,              0.0091288
                     46,                0.46621,                0.25732,                0.81781,                      1,                0.98219,                0.99495,                 0.9359,                0.40438,                0.21873,                0.90128,               0.009109,               0.009109,               0.009109
                     47,                0.45617,                0.25234,                0.81895,                0.99743,                0.99127,                 0.9949,                0.93576,                0.42142,                0.20856,                0.90326,              0.0090892,              0.0090892,              0.0090892
                     48,                0.45424,                0.24936,                 0.8192,                0.99742,                0.99006,                0.99497,                0.92459,                0.40549,                0.20541,                0.90376,              0.0090694,              0.0090694,              0.0090694
                     49,                 0.4573,                0.25086,                 0.8187,                      1,                0.98823,                  0.995,                 0.9317,                0.39637,                0.21427,                0.90142,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.4524,                0.25004,                0.81713,                0.99607,                0.99488,                  0.995,                0.90045,                0.50212,                0.23251,                0.91133,              0.0090298,              0.0090298,              0.0090298
